Id;Geri Donus
159;10
275;10
4072;10
664;5
146;10
151;10
677;10
11290;10
2369;5
10611;10
20;5
10855;10
1981;10
1719;10
6879;5
171;5
10455;5
1987;10
2392;10
1602;10
9971;10
1993;10
11934;5
2397;5
11253;10
1607;5
6895;5
2403;10
1610;10
184;10
11757;10
53;5
11176;5
11664;10
195;5
1762;5
1633;10
1771;10
9802;10
1877;10
1643;5
71;10
1879;10
732;10
2019;10
1881;10
75;10
11177;5
2033;10
9267;5
209;10
1784;5
10921;10
2437;10
216;5
90;10
1794;10
221;10
747;5
1899;5
222;5
2444;10
9485;10
230;5
11950;5
103;10
1918;10
1671;10
6970;10
105;10
10943;10
1922;5
1924;10
8293;10
11003;5
9756;10
2462;10
245;10
2806;10
1938;5
2811;5
11398;10
125;10
128;10
256;5
11917;10
2470;5
2822;10
2477;10
6181;10
7015;5
2836;5
2607;10
8309;10
10225;10
926;10
6192;5
3599;10
415;5
2613;10
3605;10
286;10
935;10
419;10
12081;5
2499;7
941;10
3612;5
2500;10
2625;10
2505;10
293;10
425;10
9215;10
10005;10
3627;10
3630;5
10922;10
958;10
3636;10
11217;5
3642;10
10995;10
2887;10
2888;10
2539;5
968;10
2541;5
6240;10
6242;10
8727;10
10010;10
3662;10
340;5
3664;10
979;10
2898;10
11561;5
345;5
6253;5
12114;5
2905;5
9202;10
3670;10
9821;10
2909;10
2910;10
351;10
2559;10
2677;10
993;5
9771;10
10025;10
360;5
9341;5
2695;5
2700;5
6280;5
10295;5
2707;10
2708;10
3327;10
2585;5
3060;10
2712;5
377;5
501;10
502;5
504;5
3334;10
3066;3
3335;3
1026;10
3067;10
3069;10
3072;10
3073;10
6299;5
3711;5
3081;5
5462;10
1034;10
6302;10
1039;10
3087;5
5467;5
11327;10
1043;10
5469;10
3352;10
7197;10
5473;10
5475;10
1304;10
11455;10
9831;10
6309;5
10296;10
6316;5
11524;5
540;10
1057;10
11601;10
5491;5
3120;10
10673;10
10924;5
5499;10
3515;10
3130;5
1336;5
555;5
9835;10
6335;5
5506;5
1078;10
11428;10
11462;5
1352;10
1353;10
568;5
6353;10
1357;10
3407;5
3152;5
5520;5
1363;10
3535;10
12144;10
12253;10
9520;10
10049;10
9840;5
12150;10
11880;10
579;10
3416;10
1374;5
3549;10
10665;10
6376;5
10956;10
1391;5
3578;5
3181;10
3183;5
1132;5
11276;10
5555;10
11682;5
616;5
6389;5
1408;10
12281;10
3717;10
11493;10
3447;10
3450;5
4707;5
4708;5
10066;10
12004;5
11726;5
3977;5
1426;5
10856;10
1147;10
1149;5
3733;10
6403;5
5580;10
2206;10
11342;10
11752;5
2214;5
3989;10
10870;10
1430;10
780;10
5693;10
11643;5
788;10
790;10
11661;5
10826;10
4009;10
8903;10
10079;10
4013;10
4015;5
11305;5
4016;5
6427;5
2239;5
4760;5
3775;10
3777;10
4034;10
5718;5
2254;10
3784;10
5726;5
5727;5
817;5
4048;10
4773;10
2266;5
11546;5
12333;5
4055;5
5734;5
4779;10
833;10
4057;10
10957;10
12028;10
11282;10
5747;10
11420;10
3806;10
10959;10
2286;10
5754;10
4073;10
4074;10
2292;10
3813;10
852;5
9694;5
10782;10
11801;10
10373;10
10899;5
1522;5
4089;5
4817;5
10653;10
5780;5
3834;5
9760;10
2321;5
2323;5
6503;5
10352;5
11884;5
11683;5
1552;5
5803;5
6514;10
1556;5
9493;10
11716;10
4471;8
1171;10
3198;10
11042;10
8478;10
3202;10
6530;5
12306;10
2953;10
11541;10
2955;5
2958;10
7606;10
5154;10
4153;7
1190;5
4165;5
3223;10
4496;10
11552;10
2975;10
11362;5
6545;5
1201;5
4171;10
9249;5
3229;5
11029;10
12185;10
7642;10
5854;5
11550;10
1209;10
11806;10
4194;5
4524;5
1217;5
11781;5
3246;5
11892;10
9763;3
3008;10
10810;5
9887;10
9344;5
4541;5
3016;10
5882;5
11890;10
3271;5
5212;5
7698;10
9701;5
3272;10
5217;5
12287;3
5893;10
10248;5
1249;5
3033;10
11353;5
6600;5
3045;5
3289;5
5903;10
3295;10
1262;10
4581;10
5234;10
8754;10
6608;10
3840;5
1273;5
4927;5
5923;5
11906;10
11339;5
3311;5
1286;10
11804;10
6628;10
4944;5
4945;10
5255;10
5257;10
1294;10
11405;5
9777;10
4328;10
4332;3
10850;10
4337;10
6646;10
5269;10
3876;10
7802;5
5275;10
5950;5
5951;5
9783;10
4629;5
3885;5
7820;10
3895;7
2094;5
5290;5
4356;5
10450;5
12194;5
6661;5
3898;10
9577;5
5979;10
5306;10
4990;5
5990;5
2112;5
2119;10
10150;5
3917;10
4378;5
3918;10
6698;10
5325;5
5326;10
5328;5
6709;10
4388;5
11291;10
2141;5
7908;10
11587;5
3939;5
4397;5
5025;10
6030;5
11991;5
4401;10
4403;10
6035;10
3953;10
6728;10
4409;10
5348;3
4411;3
11681;3
11454;3
4412;3
5350;10
12223;10
3958;10
9529;5
2166;5
2167;5
4415;5
6731;5
11813;5
11814;5
11453;5
6732;5
8576;5
3960;5
7958;5
11369;5
4416;5
7959;5
7960;5
7961;5
12312;10
12163;10
12164;10
11472;10
11180;5
5368;5
10935;5
9911;10
6740;10
6061;5
10160;5
10971;5
11098;3
6062;5
5379;10
6075;5
6076;5
5607;5
2191;5
9754;5
11713;10
2192;10
6080;5
6765;10
6771;10
11315;5
8595;10
8596;10
5064;10
5620;10
6781;5
12055;10
12088;10
11007;10
2731;5
8601;10
11048;10
4861;10
4269;10
5413;10
6798;10
6108;10
6109;10
4288;10
2772;5
5668;5
5108;5
9166;5
6818;5
4295;10
5115;10
5119;5
2786;5
2788;8
4902;8
11634;5
5679;5
5684;10
10340;5
10205;5
5460;5
