Tarih,Giris
2026-04-08,1598
2026-04-09,1669
2026-04-10,1631
2026-04-11,2716
2026-04-12,2568
2026-04-13,1873
2026-04-14,1814
2026-04-15,1986
2026-04-16,1795
2026-04-17,1929
2026-04-18,2565
2026-04-19,2384
2026-04-20,1703
2026-04-21,1796
2026-04-22,1589
2026-04-23,2658
2026-04-24,1793
2026-04-25,2475
2026-04-26,2173
2026-04-27,1804
2026-04-28,1812
2026-04-29,1855
2026-04-30,1702
2026-05-01,2064
2026-05-02,2516
2026-05-03,2347
2026-05-04,1851
2026-05-05,2041
2026-05-06,1674
2026-05-07,1805
2026-05-08,1935
2026-05-09,2978
2026-05-10,2502
2026-05-11,1816
2026-05-12,1823
2026-05-13,1706
2026-05-14,1646
2026-05-15,1691
2026-05-16,2317
2026-05-17,2159
2026-05-18,1733
2026-05-19,1876
2026-05-20,1521
2026-05-21,1702
2026-05-22,1739
2026-05-23,2247
2026-05-24,2031
2026-05-25,1967
2026-05-26,1492
2026-05-27,6
2026-05-28,1048
2026-05-29,1538
2026-05-30,1617
2026-05-31,1631
2026-06-01,1563
2026-06-02,1539
2026-06-03,1423
2026-06-04,1505
2026-06-05,1454
2026-06-06,2191
2026-06-07,1860
2026-06-08,766
